,Date,Head,Text
19,31 May 2018,Bursa rebounds as tensions ease over Italy,KUALA LUMPUR: Battered global markets rebounded on Thursday as political parties in Italy resumed talks in an atttempt to form a coalition government.
20,31 May 2018,Ringgit higher against US$ as Italian crisis fades and equities rise,"KUALA LUMPUR: The ringgit was higher versus the US dollar Thursday on renewed demand for the local currency in tandem with the better performance on equity market, a dealer said."
21,31 May 2018,"Stronger quarters ahead for Spritzer, says Kenanga",KUALA LUMPUR: Kenanga Research said Spritzer Bhd's 1Q18 net profit of RM6.8mil was within its expectations and above consensus in anticipation of stronger seasonal quarters.
22,31 May 2018,Miri Bomba to the rescue of Sabah climber,MIRI: The Miri Fire and Rescue Department’s air wing unit rescued a tourist from Sabah who had fallen while climbing the Mulu Pinnacles at the Mulu National Park.
23,30 May 2018,Broad selloff on Bursa as KLCI sinks over 3%,KUALA LUMPUR: Bursa Malaysia suffered a broad sell-off on Wednesday as foreign funds continued to stay cautious over the new government's reforms while the political turmoil from Italy added more pressure.
24,30 May 2018,Malaysian govt may seek more revenue from Petronas as profit jumps,"KUALA LUMPUR:  Malaysia may collect up to $2.3 billion more in taxes and dividends from Petroliam Nasional Berhad, or Petronas, this year, a finance ministry official said on Wednesday, as firmer oil prices boost profits at the state energy firm."
25,30 May 2018,"Petronas Q1 net profit up 26% to RM13b on higher revenue, net write-back on impairment","KUALA LUMPUR: Petroliam Nasional Bhd (Petronas) saw its net profit for the first quarter ended March 31, 2018 rise 26% to RM13bil from a year ago as it benefited from overall business improvement and operational excellence, coupled with a recovery in commodity prices."
26,30 May 2018,Trust fund set up for Malaysians to contribute to settle nation's debt,"PUTRAJAYA: The Government has set up a trust fund known as Tabung Harapan Malaysia (THM) for Malaysians to contribute towards alleviating the country's debt, says Tun Dr Mahathir Mohamad."
27,30 May 2018,Jobless man found murdered in Sibu,SIBU: A 25-year-old jobless man is believed to have been murdered in his room on Wednesday (May 30) after he was heard arguing loudly with some unidentified parties.
28,30 May 2018,How `insolvent' 1MDB's debt stacks up and who's saddled with it,"KUALA LUMPUR: Malaysia’s scandal-plagued state investment fund 1MDB has a 143.75 million ringgit ($36 million) bond coupon payment that may still be due this month. With the company unable to repay debt, the government has said it will honor 1MDB’s obligations as it had done since April 2017."
29,30 May 2018,KLCI slides 45 pts as Italy derails growth sentiment,"KUALA LUMPUR: The local market fell sharply in tandem with global markets as the political crisis raised the possibility of further erosion of European unity, derailing expectations of global growth."
30,30 May 2018,"Ringgit lower against US$ on lack of demand, Itlian developments in focus","KUALA LUMPUR: The ringgit was lower versus the US dollar early Wednesday on lack of demand for the local currency, a dealer said."
31,30 May 2018,Sabah highway next to get the chop?,"PETALING JAYA: With the Pakatan Harapan government confirming it has dropped the Kuala Lumpur-Singapore high-speed rail (HSR) project, attention has now turned to which mega-infrastructure projects could be reviewed next."
32,29 May 2018,"Scrapping of HSR will result in loss of RM209bil in GNI and 70,000 jobs, claims former minister","PETALING JAYA: The Pakatan Harapan Government’s decision to scrap the multi-billion ringgit High-Speed Rail (HSR) project with Singapore will adversely impact the country’s economic growth, claimed Datuk Seri Abdul Rahman Dahlan of Umno communications.  "
33,29 May 2018,Malaysian palm oil price down 2% on weaker crude and related oils,"KUALA LUMPUR: Malaysian palm oil futures fell as much as 1.9 percent on Monday evening, hitting their lowest in more than a week, tracking losses in crude and weaker related edible oils."
34,29 May 2018,Build culture of thrift – don’t spend money like water,"THE old saying “don’t spend money like water” is becoming more relevant, with increased awareness of debt and repayments made by the government for 1 Malaysia Development Bhd (1MDB)."
35,28 May 2018,"No official notification from Malaysia over cancellation of HSR project, says Singapore",SINGAPORE: Singapore's Ministry of Transport said it has not received any official notification from Malaysia regarding the dropping of the Kuala Lumpur-Singapore High-Speed Rail (HSR) project.
36,28 May 2018,Dr M confirms high-speed rail project with Singapore to be scrapped,PETALING JAYA: Tun Dr Mahathir Mohamad has confirmed that the High-Speed Rail (HSR) project with Singapore will be scrapped.   
37,28 May 2018,Maybank's record Q1 net profit unable to lift market,KUALA LUMPUR: Maybank's record first quarter net profit was unable to shore up the bearish market sentiment on Monday as selling pressure saw it erasing more than five points from the FBM KLCI.
38,28 May 2018,Mahathir to drop high-speed rail project with Singapore: FT,"KUALA LUMPUR: Malaysia plans to drop its plans for a high-speed rail link between its capital, Kuala Lumpur, and Singapore, and will talk with its southern neighbour about the pact to build it, Prime Minister Tun Dr Mahathir Mohamad said in an interview published on Monday."
39,28 May 2018,Ahmad Zahid compares Pakatan govt to tempe ,"PETALING JAYA: Bagan Datuk MP Datuk Seri Dr Ahmad Zahid Hamidi has slammed the Pakatan Harapan over their inconsistent statements, likening the new government to the soybean dish called ""tempe"". "
40,28 May 2018,Debts and the push for reforms,"From DR CHANDRA MUZAFFAR , Chairman Board of Trustees Yayasan 1Malaysia Petaling Jaya"
41,28 May 2018,Ringgit lower against US$ on lack of demand,"KUALA LUMPUR: The ringgit was lower versus the US dollar early Monday on lack of interest for the local currency, a dealer said."
42,27 May 2018,National interest overrides party agenda,New national leaders have shown they can put their personal and party interests aside for the sake of rebuilding the nation together.
43,26 May 2018,Malaysian palm oil price sees sharpest drop in 7 weeks on weak exports,"KUALA LUMPUR: Malaysian palm oil futures saw their sharpest fall in seven weeks on Friday evening, weighed down by weak export demand and losses in related edible oils on the U.S. Chicago Board of Trade and China's Dalian Commodity Exchange."
44,26 May 2018,Demystifying the debt dilemma,Analysts say new government needs to quickly introduce measures to reduce the country’s liabilities
45,25 May 2018,"KLCI rebounds on retail buying but not enough to close above 1,800",KUALA LUMPUR: Retail investors turned up in force to buy key stocks including Public Bank and Axiata and enabled the FBM KLCI to post a solid rebound after the recent battering.
46,25 May 2018,Tanjung Aru beachfront development project on hold,KOTA KINABALU: The 348ha Tanjung Aru beachfront development project pushed by former chief minister Tan Sri Musa Aman has been put on hold by the new Parti Warisan Sabah-led state government.
47,25 May 2018, New Singapore exchange kicks off trading with palm oil futures,"SINGAPORE/KUALA LUMPUR: Singapore's third derivatives exchange kicked off trading on Friday with the launch of palm oil futures, as the largely China-backed bourse looks to get a foothold in the region in preparation for other contracts down the line."
48,25 May 2018,KLCI rebounds on buying of key heavyweights,KUALA LUMPUR: The local market experienced a relief rebound on Friday following sharp declines that saw the FBM KLCI lose 69 points or 3.7% over two trading days.
49,25 May 2018,"Ringgit lower against US$, clouded by fiscal uncertainty","KUALA LUMPUR: The ringgit retreated from Thursday's gains to be lower versus the US dollar Friday morning on lack of interest for the local currency, a dealer said."
50,25 May 2018,Malaysian palm oil/Vegoils: Market factors to watch Friday May 25,KUALA LUMPUR: The following factors are likely to influence Malaysian palm oil futures and other vegetable oil markets on Friday May 25.
51,25 May 2018,Higher fuel prices to pressure AirAsia’s earnings,KUALA LUMPUR: CIMB Equities Research expects higher fuel prices to pressure AirAsia Group Bhd’s (AAGB) earnings as it only hedged about 12% of its FY18F jet fuel needs at US$68.55 per barrel.
52,25 May 2018,Malaysian palm oil price rises to 7-week peak on weaker ringgit,"KUALA LUMPUR: Malaysian palm oil futures rose to a seven-week high on Thursday evening, tracking gains in U.S. soyoil and supported by a weaker ringgit.Palm oil prices typically rise on a weaker ringgit,"
53,25 May 2018,Million-ringgit question – where’s Musa?,"KOTA KINABALU: The lights at Sri Anggerik, the Luyang home of Sabah Umno chairman Tan Sri Musa Aman here, has remained dim over the past 10 days."
54,24 May 2018,"KLCI closes at end-Dec low on Maybank, Public Bank losses","KUALA LUMPUR: Malaysia's blue chips came under a second day of battering on Thursday as foreign funds cut their stakes in key banks including Maybank, Public Bank and CIMB."
55,24 May 2018,Malaysia needs tactful handling of 1MDB mess,"MALAYSIA’s new finance minister is taking a sledgehammer to 1MDB. A less blunt tool would do the job just as well, probably better."
56,24 May 2018,Khazanah says no control after repayment of RM1.2b to MoF,KUALA LUMPUR: Khazanah Nasional Bhd has no control of the use of the remaining RM1.2bil in redeemable cumulative convertible preference shares (RCCPS) which was repaid to the Ministry of Finance (MoF).
57,24 May 2018,"Most of the 2018 allocation has been used up, says new Negri MB",SEREMBAN: Assemblymen in the previous Negri Sembilan government have used up 80% of the development allocations given to them for 2018 in the first four months of this year.
58,24 May 2018," Inflation to remain soft in the near term, OPR to be maintained in 2018",PETALING JAYA: Inflationary pressure is expected to remain subdued in the near term which will allow Bank Negara to maintain the overnight policy rate (OPR) at the current level this year.
59,24 May 2018,Bursa routed for second straight day ,KUALA LUMPUR: Bursa Malaysia continued its decline on Thursday as recent revelations over the national debt and the ongoing trade conflict between the US and China weighed on investor sentiment. 
60,24 May 2018,"Ringgit unchanged against US$ on subdued demand, lack of leads","KUALA LUMPUR: The ringgit was unchanged against the US dollar in early trade Thursday the absence of fresh direction and on subdued demand for the local note, amid the firmer greenback, dealers said"
61,24 May 2018,Kenanga cuts White Horse earnings estimates on slow industry demand,KUALA LUMPUR: Kenanga Research has cut its FY18/19E earnings estimates for White Horse Bhd in light of the slower industry demand for tiles leading to stiffer competition.
62,24 May 2018,"Inari-Amertron to grow LED, fibre and sensor businesses","KUALA LUMPUR: Inari-Amertron is targeting to grow its light emitting diode (LED), fibre and sensor product portfolio to offset the softness in radio frequency (RF) demand due to sluggish near-term smartphone outlook, says CIMB Equities Research."
63,24 May 2018,"Malaysian palm oil price declines on weaker crude oil, profit-taking","KUALA LUMPUR: Malaysian palm oil futures declined in trade on Wednesday evening, tracking weakness in crude oil prices and as traders booked profit after the vegetable oil jumped to a six-week high in the previous session."
64,24 May 2018,Najib: Distinguish political narrative from fact,"PETALING JAYA: Embattled former prime minister Datuk Seri Najib Tun Razak has reminded the Pakatan Harapan government to make a clear distinction between political narrative and fact, following claims that Malaysia's debt is now above RM1tril."
65,24 May 2018,Axiata and TM shares take a beating on weaker results, Axiata president and group CEO Tan Sri Jamaludin Ibrahim unfazed by possible non-cash impairment
66,23 May 2018,Axiata sees technical impairment from Idea-Vodafone merger,KUALA LUMPUR: Axiata Group Bhd is looking at a possible technical impairment of between RM2bil and RM3bil when the merger between its associate Idea Cellular and Vodafone takes place.
67,23 May 2018,MSM makes RM15.8mil net profit in Q1,"KUALA LUMPUR: MSM Malaysia Bhd posted a net profit of RM15.8mil in the first quarter ended March 31, 2018 compared with a net loss of RM34.6mil in the same period a year ago due to lower raw material costs and favourable foreign exchange rate. "
68,23 May 2018,"KLCI falls 28 points, led by Axiata, CIMB",KUALA LUMPUR: Bursa Malaysia fell sharply in morning trade as weak earnings results and dampened investor sentiment sparked a broad-based selldown in equity.
69,23 May 2018,"Ringgit lower against US$ on profit taking, interest rate concerns","KUALA LUMPUR: The ringgit retreated from Tuesday's gains to be lower against the US dollar early Wednesday on mild profit taking due to concerns over a possible US interest rate rise, dealers said."
70,23 May 2018,"Bursa slips for third straight day; Axiata, CIMB weigh",KUALA LUMPUR: Bursa Malaysia eased further in early Wednesday trade as heavyweights Axiata and CIMB weighed on the market.
71,23 May 2018,PublicInvest upgrades AAX to trading buy as results exceed estimates,KUALA LUMPUR: PublicInvest Research upgraded its call in AirAsia X to trading buy as its 1QFY18 net profit of RM41.5mil came in above expectations due to better performance from the Thailand operation
72,23 May 2018,Kenanga trims Axiata earnings forecasts as results disappoint,KUALA LUMPUR: Kenanga Research cut its earnings forecasts on Axiata Group Bhd after 1Q18 results disappointed due to higher-than-expected OPEX and widening losses in Idea.
73,23 May 2018,Malaysian palm oil price hits 6-week peak on stronger crude oil and soyoil,"KUALA LUMPUR: Malaysian palm oil futures climbed to a six-week high in evening trade on Tuesday, charting a third session of gains in four, tracking overnight strength in U.S. soyoil and crude oil prices."
74,23 May 2018,Bogus mediums ‘pull’ money from the underworld,"SOME mediums have boasted to their clients that they can “pull” money from the alam ghaib (underworld), Harian Metro reported."
75,22 May 2018,Strong passenger growth lifts AirAsia X Q1 earnings  ,"KUALA LUMPUR: AirAsia X Bhd posted a net profit of RM41.5mil in the first quarter ended March 31, boosted by higher passenger volume and lower operating cost."
76,22 May 2018,Jeffrey Kitingan quizzed by MACC over RM20mil allegedly received after GE14,KOTA KINABALU: Datuk Dr Jeffrey Kitingan (pic) was questioned by graft busters for about four hours on Tuesday (May 22) on an alleged RM20mil payment he received after GE14.
77,22 May 2018," Indian operations, forex weigh on Axiata in Q1","KUALA LUMPUR: Axiata Group posted net losses of RM147.41mil in the first quarter ended March 31, 2018 weighed down by the Indian telecommunications market and due to forex translation impact as the ringgit strengthened."
78,22 May 2018,"Weaker closing for KLCI as PChem, TM fall","KUALA LUMPUR: Blue chips closed near the day's low on Tuesday on continued foreign fund selling on key stocks including Petronas Chemicals, Telekom Malaysia (TM) and Tenaga Nasional."
79,22 May 2018,Bank Negara foreign reserves dip in mid-May as US$ strengthens,"KUALA LUMPUR: Bank Negara Malaysia's international reserves totalled US$109.4bil as at May 15, 2015, a decline of US$100mil from the US$109.5bil at end-April as the greenback firms up against the ringgit."
80,22 May 2018,"Bursa weighed by TNB, PetChem",KUALA LUMPUR: The local market was weighed down by heavyweight counters Tenaga Nasional and Petronas Chemicals even as the strong US dollar triggered money outflows from emerging markets.
81,22 May 2018,New MACC chief breaks down in recounting what he went through (full story),PUTRAJAYA: Newly appointed Malaysian Anti-Corruption Commission (MACC) chief commissioner Datuk Seri Mohd Shukri Abdull broke down when he recounted his time running away from Malaysian authorities to the United States.
82,22 May 2018,Ringgit higher against US$ on renewed interest in emerging currencies,"KUALA LUMPUR: The ringgit rebounded to be higher against the US dollar early Tuesday on renewed interest in emerging currencies, said dealers."
83,22 May 2018,Malaysian palm falls in late trade on weak export data,"KUALA LUMPUR: Malaysian palm oil futures declined on Monday evening, snapping two sessions of gains, weighed down by weaker export data from a cargo surveyor and an inspection company."
84,22 May 2018,‘It is good to be back but hard work beckons’,PUTRAJAYA: Datuk Seri Mohd Shukri Abdull says he is glad to be back at the helm of the national anti-graft body but expects a tough time at work.
85,21 May 2018,Religion on Najib's mind the night before facing MACC,"KUALA LUMPUR: On the night before Datuk Seri Najib Tun Razak is expected to go to the Malaysian Anti Corruption Commission (MACC) office to give his statement, a van ferrying students from the Darul Quran Ittifaqiyah religious school was seen entering his residence at Jalan Langgak Duta here."
86,21 May 2018,"KLCI closes shade lower on CIMB, Tenaga losses","KUALA LUMPUR: Blue chips closed slightly lower on Monday weighed down by losses in CIMB, Tenaga Nasional and Telekom, but the broader market was mixed."
87,21 May 2018,"Petronas Chemical Q1 earnings at RM1.065b, stronger ringgit weighs","KUALA LUMPUR: Petronas Chemicals Group Bhd reported lower earnings of RM1.065bil in the first quarter ended March 31, 2018 due to the strengthening of the ringgit against the US dollar and forex loss on its loans."
88,21 May 2018,"Local market moves higher at midday as US, China drop tariff threats","KUALA LUMPUR: Local equities rose on the lead of regional markets on Monday as trade tensions between the US and China eased after US Treasury Secretry Steven Mnuchin said the conflict was put ""on hold"" following an agreement to drop their tariff threats."
89,21 May 2018,Bank Negara provides greater info for investors on bond market,KUALA LUMPUR: Bank Negara Malaysia is further developing the bond market by providing investors with greater access to information with the operationalisation of segregated securities accounts.
90,21 May 2018,Ringgit extends loss against US$ on lack of demand,KUALA LUMPUR: The ringgit extended its loss from last Friday to be lower against the US dollar early Monday on lack of market demand and as the interest of investors shifted towards the greenback on rising US Treasury yields.
91,21 May 2018,Malaysian palm oil/Vegoils: Market factors to watch Monday May 21,KUALA LUMPUR: The following factors are likely to influence Malaysian palm oil futures and other vegetable oil markets on Monday May 21.
92,21 May 2018,"CIMB Research upgrades Tan Chong to Add, higher target price",KUALA LUMPUR: CIMB Equities Research has upgraded Tan Chong Motor Holdings (TCM) to Add with a higher target price of RM2 from RM1.67 following the improving earnings outlook for the automotive group.
93,21 May 2018,SMEs need to look at export market,OUR country has seen a lot of changes over the past two weeks.
94,20 May 2018,Xavier Justo and PM had 'intense' 90-min discussion,"PETALING JAYA: Former Petrosaudi International executive Xavier Andre Justo had a 90-minute meeting with Prime Minister Tun Dr Mahathir Mohamad on Sunday that the former described as ""intense""."
95,20 May 2018,"One killed, four arrested in high-speed chase in Ampang","KUALA LUMPUR: A fake money changer syndicate member was shot dead and four suspects were arrested following a high-speed car chase with police on Jalan Memanda 2, Ampang on Sunday."
96,20 May 2018,Najib leaves Taman Duta home to attend events in Pekan,"KUALA LUMPUR: Datuk Seri Najib Tun Razak has left his residence at Taman Duta here to attend a series of events in Pekan, Pahang.  "
97,20 May 2018,Onshore financial market activities continue to operate effectively,"KUALA LUMPUR: The Malaysian onshore financial markets activities continued to operate effectively during the first week after the general election, recording a healthy daily average FX transaction volume of US$15 billion (US$1 = RM3.97)."
98,20 May 2018,Former PM told to make statement at MACC headquarters,PUTRAJAYA: Datuk Seri Najib Tun Razak will still have to make an appearance at the Malaysian Anti-Corruption Commission (MACC) headquarters to have his statement recorded on Tuesday.
99,19 May 2018,"MACC refutes Najib's lawyer, meeting at MACC HQ",PETALING JAYA: The Malaysian Anti-Corruption Commission (MACC) has reiterated that former prime minister Datuk Seri Najib Tun Razak has been summoned to the Commission's headquarters in Putrajaya on Tuesday (May 22) to have his statement recorded.
100,19 May 2018,"Designer handbags, jewellery and bags of cash confiscated from Najib-linked condo",KUALA LUMPUR: The raid at one of the residences linked to former prime minister Datuk Seri Najib Tun Razak has garnered a lot of attention due to the sheer value of the items seized.
101,18 May 2018,"Bursa picks up in morning trade, toll operators in the spotlight",KUALA LUMPUR: The local market moved higher on Friday morning with sustained buying interest from local institutions.
102,18 May 2018,Ringgit slips further as US yields continue to rise,"KUALA LUMPUR: The ringgit opened lower against the US dollar on lack of buying momentum and with interest in the greenback following higher US bond yields, a dealer said."
103,18 May 2018,"CIMB Research upgrades MPI to Add, retains RM10.80 target price",KUALA LUMPUR: CIMB Equities Research has upgraded Malaysian Pacific Industries (MPI) to Add from Hold and retained the target price of RM10.80 as the as the worst is over for the chip maker.
104,18 May 2018,"Carlsberg primed for further domestic expansion in 2018, says Kenanga",KUALA LUMPUR: Kenanga Research maintained market perform on Carlsberg Brewery Malaysia Bhd with a higher target price of RM18.25 following a slightly better net earnings adjustment.
105,18 May 2018,"Cops seize luxury goods, jewellery and cash of 'too much to determine' value from 3 condos in KL","KUALA LUMPUR: Police have seized 284 boxes filled with designer handbags, watches, jewellery and cash in various currencies from three luxury condominiums here, which value is impossible to estimate due to its sheer volume."
106,18 May 2018,Expert: Fixed fuel prices a boon ,"GEORGE TOWN: Fuel prices would be 12 to 18 sen more than now if the Pakatan Harapan Government had not maintained the present prices, says an expert."
107,17 May 2018,"Carlsberg posts 20% Q1 earnings jump, declares 20 sen dividend","KUALA LUMPUR: Carlsberg Brewery Malaysia Bhd's Q1 earnings jumped 20% to RM80.82mil from RM67.39mil in the year-ago quarter, underpinned by improved profit contributions from its domestic operations and associate company."
108,17 May 2018,"Bursa moves ahead on GDP results, Petronas stocks lift",KUALA LUMPUR: Bursa Malaysia moved up slightly in morning trade as the central bank announced the economy had expanded at a slower pace of 5.4% in the first quarter of this year.
109,17 May 2018,Dr M calls up former MACC chief Abu Kassim,PUTRAJAYA: Tun Dr Mahathir Mohamad has called up Tan Sri Abu Kassim Mohamed to seek information believed to be on SRC International and the RM2.6bil fund linked to 1Malaysia Development Berhad (1MDB).
110,17 May 2018,Economy grew at slower pace of 5.4% in Q1 of 2018,KUALA LUMPUR: Malaysia's economy expanded at a slower pace of 5.4% in the first quarter of 2018 underpinned by continued expansion in private sector activity and strong support from net exports.
111,17 May 2018,Ringgit holds still against US$ ahead of BNM Q1 results,"KUALA LUMPUR: The ringgit opened unchanged against the US dollar on cautious market sentiment and against the backdrop of Bank Negara Malaysia announcing the 2018 first quarter results today, a dealer said."
112,17 May 2018,Top brass of rail projects summoned by Team of Eminent Persons,"KUALA LUMPUR: Top brass in charge of billion-ringgit rail projects, including the Kuala Lumpur-Singapore high-speed rail (HSR) and East Coast Rail Link (ECRL) projects, were called in for a briefing by the Team of Eminent Persons."
113,16 May 2018,Business as usual for East Coast Rail Line,"KUALA LUMPUR: It is ""business as usual"" for the multibillion ringgit East Coast Rail Line (ECRL) project despite speculation it could be delayed or shelved."
114,16 May 2018,"KLCI closes on firmer note as Public Bank, Maxis, CIMB gain","KUALA LUMPUR: Blue chips closed on a firmer note on Wednesday with fund buying seen in Public Bank, Maxis and CIMB as investors grew more confident in the new administration's policies."
115,16 May 2018,Pharmaniaga posts Q1 earnings of RM17.6m,"KUALA LUMPUR: Pharmaniaga Bhd posted a 7% dip in earnings to RM17.59mil in its first quarter ended March 31,2018, from RM18.92mil in the year-ago quarter on the back of flattish revenue of RM617.92mil."
116,16 May 2018,"KLCI resumes upwards momentum; Maxis, IHH lift",KUALA LUMPUR: The local market picked up on Wednesday morning as stocks rebounded from lows following a late selloff in the previous session.
117,16 May 2018,Declassified Report on 1MDB shows funding anomalies,"KUALA LUMPUR: A newly-declassified report on scandal-plagued Malaysia state fund 1MDB shows investigators expressed widespread concern about anomalies in its accounts, as Prime Minister Tun Dr Mahathir Mohamad accelerates efforts to reopen probes into the company and the actions of his predecessor."
118,16 May 2018,Ringgit slips as US bond yields reignite greenback rally  ,"KUALA LUMPUR: The ringgit opened lower against the US dollar, but was higher against other major currencies."
119,16 May 2018,Counting the days for GST to end,THE public is looking forward to the removal of the 6% Goods and Services Tax (GST).
120,15 May 2018,"Onshore financial markets remain stable, says Financial Markets Committee","KUALA LUMPUR: Malaysia’s onshore financial markets remain stable and orderly when they reopened on Monday after the 14th General Election, says the Financial Markets Committee (FMC)."
121,15 May 2018,Late profit-taking sees KLCI falling 10pts,"KUALA LUMPUR: Profit taking in the last 10 minutes of trade on Tuesday saw the FBM KLCI falling about 10 points to end in the red, with Public Bank among the top losers but the broader market was still firm, reflecting overall investor confidence."
122,15 May 2018,"Financial market reaction better than expected, says Wahid","KUALA LUMPUR: The financial market reaction to the change in the government was better than initially expected following the smooth power transition, said Permodalan Nasional Bhd ( PNB ) Group Chairman Tan Sri Abdul Wahid Omar."
123,15 May 2018,"Market volatility to remain in the near term, partly driven by US fed rate hikes",PETALING JAYA: AmBank Group is expecting market volatility to remain at least in the near term despite an improvement in the intra-day trend.
124,15 May 2018,Investor confidence continues in local market,KUALA LUMPUR: The local bourse continued to attract investor confidence in the second day of trading since the change of government.
125,15 May 2018,"Evidence that Najib received 1MDB funds was ignored, probe panelists say","KUALA LUMPUR: The Malaysian Anti-Corruption Commission (MACC) found evidence in late 2015 that RM42 million ($10.6 million) was transferred from a former subsidiary of state fund 1MDB into an account of then Prime Minister Datuk Seri Najib Razak, but its recommendation for further investigation was rejected by the attorney general, a member of a panel that reviewed the commission’s case files told Reuters."
126,15 May 2018,Ringgit holds firm on local buying support,"KUALA LUMPUR: The ringgit was unchanged against the US dollar despite the gains in the greenback following the US Federal Reserve's hint to further increase its interest rate, a dealer said."
127,15 May 2018,Tribute to the sixth prime minister,"From ADDIN AIMAN, Petaling Jaya."
128,14 May 2018,Zeti: Malaysia can meet revenue requirement without GST,"KUALA LUMPUR: Malaysia can meet its revenue requirements even after shelving the Goods and Services Tax (GST), says Tan Sri Dr Zeti Akhtar Aziz.  "
129,14 May 2018,Zeti: Changes in the country are happening at “a very positive time.” ,KUALA LUMPUR: The Team of Eminent Persons has given an assurance that Malaysia will honour its debt obligations under the new government and highlighted that the current political changes in the country are happening at “a very positive time”.
130,14 May 2018,"Mahathir, traders' onetime foe, gets a cautious market welcome","FOR a leader who once suggested outlawing currency trading, newly (re-)installed Prime Minister Tun Dr Mahathir Mohamad got a decent welcome from financial markets on Monday."
131,14 May 2018,KLCI  swings 75 points on first day after GE14,KUALA LUMPUR: Bursa Malaysia ended its first trading day on Monday -- after Pakatan Harapan's stunning victory in the 14th General Election --  on a steady note as trading volume surged but the FBM KLCI closed off its day's best.
132,14 May 2018,Felda Global Ventures stocks jump on hopes of clean-up,KUALA LUMPUR: Shares of Malaysian palm oil producer Felda Global Ventures Bhd (FGV) surged as much as 24 percent on Monday on expectations that a corporate clean-up following last week's general election would boost values.
133,14 May 2018, Asian stocks up on hopes of thaw in US-China trade tensions,"SYDNEY: Asian shares rose to near two-month highs on Monday on hopes of a thaw in U.S.-China trade tensions as U.S. President Donald Trump pledged to help ZTE Corp ""get back into business, fast"" after a U.S. ban crippled the Chinese technology company."
